"","Year","Month","monthlywtmp"
"1",2011,1,6.56900056866648
"2",2011,2,9.71682340647858
"3",2011,3,13.277105444521
"4",2011,4,18.0817429406037
"5",2011,5,22.9510555331451
"6",2011,6,26.7439966296868
"7",2011,7,28.1663619252487
"8",2011,8,28.6490725806452
"9",2011,9,25.723
"10",2011,10,20.7046269931663
"11",2011,11,15.6898705996939
"12",2011,12,12.9950914470145
"13",2012,1,10.8701051779935
"14",2012,2,11.3023994252874
"15",2012,3,15.7470334992601
"16",2012,4,18.3532101167315
"17",2012,5,23.0958837772397
"18",2012,6,25.0170795306389
"19",2012,7,28.4316356777149
"20",2012,8,28.027895100069
"21",2012,9,25.8148145575774
"22",2012,10,21.7845688147451
"23",2012,11,13.226788939836
"24",2012,12,12.6990454423232
"25",2013,1,10.4484946236559
"26",2013,2,10.6147023809524
"27",2013,3,11.3447261936876
"28",2013,4,16.1258544040011
"29",2013,5,20.6691793764341
"30",2013,6,25.7016171755193
"31",2013,7,27.8208187449502
"32",2013,8,26.8304782491219
"33",2013,9,25.5353734872722
"34",2013,10,21.2551292407108
"35",2013,11,15.0646787709497
"36",2013,12,12.4048957632818
"37",2014,1,8.83870989485036
"38",2014,2,8.25926257650396
"39",2014,3,10.3546407185629
"40",2014,4,16.2608710752987
"41",2014,5,22.3851209677419
"42",2014,6,26.1249200833912
"43",2014,7,27.4704043126685
"44",2014,8,26.8969002151694
"45",2014,9,25.9666993418289
"46",2014,10,21.9498573369565
"47",2014,11,14.461644506648
"48",2014,12,11.6471134436819
"49",2015,1,9.6190505050505
"50",2015,2,6.45986146283331
"51",2015,3,10.5034721251921
"52",2015,4,16.7161429806861
"53",2015,5,21.7672236679907
"54",2015,6,27.1705045999442
"55",2015,7,27.5270679265955
"56",2015,8,27.1965961486303
"57",2015,9,25.5847986111111
"58",2015,10,21.1461140601606
"59",2015,11,17.5431843497633
"60",2015,12,15.6486086602416
"61",2016,1,9.98832270321618
"62",2016,2,8.92333237285694
"63",2016,3,13.9405021834061
"64",2016,4,16.1031840447866
"65",2016,5,20.8964444444444
"66",2016,6,24.8988140086508
"67",2016,7,27.9338062423997
"68",2016,8,28.1477000672495
"69",2016,9,25.6171169916435
"70",2016,10,20.9075849514563
"71",2016,11,15.0955574182733
"72",2016,12,10.9361578876465
"73",2017,1,9.51984383414109
"74",2017,2,11.4648334333734
"75",2017,3,12.7730273861171
"76",2017,4,18.0130700154343
"77",2017,5,21.7977567567568
"78",2017,6,24.808655181995
"79",2017,7,26.5711847116431
"80",2017,8,25.8696649623251
"81",2017,9,23.7382136407834
"82",2017,10,21.8541497975709
"83",2017,11,16.6702016689847
"84",2017,12,11.8130671872896
"85",2018,1,7.1897312989468
"86",2018,2,12.0354045596781
"87",2018,3,11.5383492533297
"88",2018,4,16.491779200891
"89",2018,5,23.1512147388312
"90",2018,6,28.0255877034358
"91",2018,7,28.4418836036527
"92",2018,8,28.5512484307435
"93",2018,9,28.2237569832402
"94",2018,10,23.6209051724138
"95",2018,11,17.1899582793843
"96",2018,12,13.0045997776543
"97",2019,1,11.581916495551
"98",2019,2,12.1316756272401
"99",2019,3,14.2217206477733
"100",2019,4,18.5046943024797
"101",2019,5,24.6923049745619
"102",2019,6,27.1127004399035
"103",2019,7,28.8696646969905
"104",2019,8,28.8679543579874
"105",2019,9,26.9276765536723
"106",2019,10,23.3542518618822
"107",2019,11,16.1057299062766
"108",2019,12,12.7259516987311
"109",2020,1,12.4875911915698
"110",2020,2,11.9669336219336
"111",2020,3,14.7966375252186
"112",2020,4,18.0972430555556
"113",2020,5,21.758926409256
"114",2020,6,25.5772278604199
"115",2020,7,29.4462058141122
"116",2020,8,28.9241492414924
"117",2020,9,26.2503202896533
"118",2020,10,22.8118902850966
"119",2020,11,18.5288882404435
"120",2020,12,12.8828335126412
"121",2021,1,11.0946439774153
"122",2021,2,10.2403391572456
"123",2021,3,14.2730260775081
"124",2021,4,18.9004730105732
"125",2021,5,22.0444566864068
"126",2021,6,26.2728089731085
"127",2021,7,28.4286501747782
"128",2021,8,29.4287135367657
"129",2021,9,26.8070694444444
"130",2021,10,23.4149838231329
"131",2021,11,15.8552777777778
"132",2021,12,13.9652290014565
